,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
2265,Arrhythmias and Dysrhythmias,MEDICAL,,3.0,24000000.0,500.0,Paid,1.0,Everyone,Medical,2016-01-24,1.0,4.2 and up
2280,Advanced Comprehension Therapy,MEDICAL,,3.0,62000000.0,100.0,Paid,24.99,Everyone,Medical,2017-10-05,1.2,4.0.3 and up
2294,Number Therapy,MEDICAL,,0.0,5300000.0,50.0,Paid,14.99,Everyone,Medical,2017-10-03,1.0,4.0.3 and up
2356,Free Blood Pressure,MEDICAL,,7.0,5700000.0,5000.0,Free,0.0,Everyone,Medical,2016-10-13,3.0.0,4.0.3 and up
2390,Language Therapy: Aphasia,MEDICAL,,10.0,28000000.0,1000.0,Paid,74.99,Everyone,Medical,2018-06-25,3.1.1,4.0.3 and up
2419,Advanced Comprehension Therapy,MEDICAL,,3.0,62000000.0,100.0,Paid,24.99,Everyone,Medical,2017-10-05,1.2,4.0.3 and up
2422,Visualmed,MEDICAL,,0.0,3100000.0,1.0,Paid,2.99,Everyone,Medical,2018-08-01,1.0,4.1 and up
2423,ABG Master,MEDICAL,,2.0,1800000.0,50.0,Paid,0.99,Everyone,Medical,2018-08-04,1.1,4.1 and up
2424,OrthoFlow,MEDICAL,,0.0,66000000.0,10.0,Paid,5.99,Everyone,Medical,2018-07-15,1.0.0,4.2 and up
2425,Be the Expert in Phlebotomy - Professional Nursing,MEDICAL,,0.0,5000000.0,1.0,Paid,0.99,Everyone,Medical,2018-07-24,1.0,4.0.3 and up
2430,Penn State Health OnDemand,MEDICAL,,0.0,40000000.0,50.0,Free,0.0,Everyone,Medical,2018-07-24,10.4.1.018_06,4.0.3 and up
2431,Breastfeeding Tracker Baby Log,MEDICAL,,6.0,23000000.0,100.0,Free,0.0,Everyone,Medical,2018-07-20,1.3.5,5.0 and up
2432,Lego Ninjago Wallpaper,MEDICAL,,2.0,15000000.0,100.0,Free,0.0,Everyone,Medical,2018-08-02,1.2,3.0 and up
2433,RT 516 VET,MEDICAL,,0.0,29000000.0,10.0,Free,0.0,Everyone,Medical,2018-07-13,300000.1.11,4.0.3 and up
2434,EXOGEN Connects (US),MEDICAL,,0.0,16000000.0,10.0,Free,0.0,Everyone,Medical,2018-08-01,1.0.1,4.1 and up
2435,Full Code - Emergency Medicine Simulation,MEDICAL,,0.0,65000000.0,100.0,Free,0.0,Everyone,Medical,2018-07-23,2.0,5.0 and up
2436,Maricopa AH,MEDICAL,,0.0,29000000.0,100.0,Free,0.0,Everyone,Medical,2018-07-16,300000.1.11,4.0.3 and up
2437,Dare EMS Protocols,MEDICAL,,0.0,20000000.0,10.0,Free,0.0,Everyone 10+,Medical,2018-07-26,1.8.3,4.1 and up
2438,Pediatric Emergency Guide,MEDICAL,,0.0,3800000.0,100.0,Free,0.0,Everyone,Medical,2018-07-09,3.1.1,4.4 and up
2439,Weill Cornell Medicine,MEDICAL,,0.0,19000000.0,50.0,Free,0.0,Everyone,Medical,2018-07-16,1.0.10,5.0 and up
2440,Doctors Care,MEDICAL,,0.0,25000000.0,10.0,Free,0.0,Everyone,Medical,2018-07-24,2.0.0 (35717),4.4 and up
2441,PCOS Guide - Fight PCOS naturally,MEDICAL,,0.0,5100000.0,100.0,Free,0.0,Everyone,Medical,2018-08-04,1.0,5.0 and up
2442,EVA - Menstrual calendar and fertility,MEDICAL,,25.0,16000000.0,1000.0,Free,0.0,Everyone,Medical,2018-08-02,1.1,4.1 and up
2443,Hello Face,MEDICAL,,0.0,1500000.0,10.0,Free,0.0,Everyone,Medical,2018-07-31,1.0,4.4 and up
2446,Diabetes Testing,MEDICAL,,1.0,3600000.0,500.0,Free,0.0,Mature 17+,Medical,2018-07-26,1.0,4.0.3 and up
2447,GGDE: Prevent & Beat Depression Symptoms,MEDICAL,,2.0,20000000.0,50.0,Free,0.0,Everyone,Medical,2018-07-24,2.01.12,4.0 and up
2449,Jaylex,MEDICAL,,0.0,13000000.0,10.0,Free,0.0,Everyone,Medical,2018-07-30,1.2.3-DEBUG,4.2 and up
2451,Clinical Pharmacology,MEDICAL,,0.0,3600000.0,10.0,Free,0.0,Everyone,Medical,2018-08-01,1.0,4.1 and up
2453,Smartshading AI,MEDICAL,,0.0,10000000.0,10.0,Free,0.0,Everyone,Medical,2018-06-21,1.0,4.1 and up
2456,Eversense,MEDICAL,,3.0,17000000.0,100.0,Free,0.0,Everyone,Medical,2018-07-18,2.0.101,4.4 and up
2460,Drug Calculator,MEDICAL,,0.0,4600000.0,10.0,Free,0.0,Everyone,Medical,2018-07-27,1.0,4.4 and up
2461,HACH Cares,MEDICAL,,0.0,28000000.0,10.0,Free,0.0,Everyone,Medical,2018-07-25,300000.1.11,4.0.3 and up
2462,WAH 247,MEDICAL,,0.0,29000000.0,1.0,Free,0.0,Everyone,Medical,2018-07-20,300000.1.11,4.0.3 and up
2465,ear super hearing,MEDICAL,,0.0,1400000.0,5.0,Free,0.0,Everyone,Medical,2018-07-31,1.0 Super Ear Hearing,4.0 and up
2466,Traditional Chinese Medicine Fangfang Liangfang Daquan - Practical and ancient Chinese medicine and old prescriptions for the treatment of various incurable diseases,MEDICAL,,1.0,12000000.0,10.0,Free,0.0,Everyone,Medical,2018-07-21,1.0.0,4.0 and up
2467,COPD GOLD 2017,MEDICAL,,5.0,2200000.0,10.0,Free,0.0,Everyone,Medical,2018-07-13,1.0,4.0 and up
2468,Summit Medical Video Visits,MEDICAL,,0.0,27000000.0,10.0,Free,0.0,Everyone,Medical,2018-07-12,1.1.1,4.1 and up
2469,ExtendedCare Virtual Care Room,MEDICAL,,0.0,18000000.0,5.0,Free,0.0,Everyone,Medical,2018-07-30,1.0,5.1 and up
2470,Lord Fairfax EMS Council,MEDICAL,,0.0,30000000.0,50.0,Free,0.0,Everyone,Medical,2018-07-17,1,4.0.3 and up
2471,MyWoundDoctor - Provider,MEDICAL,,0.0,3500000.0,1.0,Free,0.0,Everyone,Medical,2018-07-27,1.2.1,5.0 and up
2473,Warfarin Dose Calculator,MEDICAL,,0.0,6900000.0,50.0,Free,0.0,Everyone,Medical,2018-07-15,3.0.0,4.1 and up
2474,Renesas PMA,MEDICAL,,0.0,6600000.0,5.0,Free,0.0,Everyone,Medical,2018-07-18,1.2.9,4.4 and up
2478,4 Paws PH,MEDICAL,,1.0,29000000.0,5.0,Free,0.0,Everyone,Medical,2018-07-25,300000.1.11,4.0.3 and up
2479,high cholesterol levels,MEDICAL,,0.0,3300000.0,100.0,Free,0.0,Everyone,Medical,2018-07-23,1.0,4.1 and up
2480,Thyroid Nodules,MEDICAL,,0.0,20000000.0,10.0,Free,0.0,Everyone,Medical,2018-07-14,1.0,4.3 and up
2481,Training course: Learn Nursing,MEDICAL,,0.0,7000000.0,100.0,Free,0.0,Everyone,Medical,2018-07-08,1.0.0,4.1 and up
2483,14thStreetVet,MEDICAL,,0.0,29000000.0,5.0,Free,0.0,Everyone,Medical,2018-07-16,300000.1.11,4.0.3 and up
2485,OMD Protocols,MEDICAL,,0.0,0.0,10.0,Free,0.0,Everyone,Medical,2018-07-27,1.0,Varies with device
2498,Penn State Health OnDemand,MEDICAL,,0.0,40000000.0,50.0,Free,0.0,Everyone,Medical,2018-07-24,10.4.1.018_06,4.0.3 and up
2501,HHS,MEDICAL,,0.0,4300000.0,500.0,Free,0.0,Everyone,Medical,2017-05-30,Initial,4.0 and up
2502,Free Blood Pressure,MEDICAL,,7.0,5700000.0,5000.0,Free,0.0,Everyone,Medical,2016-10-13,3.0.0,4.0.3 and up
2503,Every disease has a drug without internet,MEDICAL,,44.0,4000000.0,10000.0,Free,0.0,Everyone,Medical,2018-04-24,1.0,4.1 and up
2513,Blood Pressure,MEDICAL,,10.0,2400000.0,1000.0,Free,0.0,Everyone,Medical,2015-03-14,1.0,2.3 and up
2516,RT 516 VET,MEDICAL,,0.0,29000000.0,10.0,Free,0.0,Everyone,Medical,2018-07-13,300000.1.11,4.0.3 and up
2529,Breastfeeding Tracker Baby Log,MEDICAL,,6.0,23000000.0,100.0,Free,0.0,Everyone,Medical,2018-07-20,1.3.5,5.0 and up
2540,PatientPORTAL by InteliChart,MEDICAL,,1.0,32000000.0,500.0,Free,0.0,Everyone,Medical,2018-05-24,1.0.1,5.0 and up
3252,Android TV Remote Service,TOOLS,,1.0,3700000.0,1000000.0,Free,0.0,Everyone,Tools,2018-01-17,2.1.02.4477839,7.0 and up
3258,SD card backup,TOOLS,,142.0,0.0,1000000.0,Free,0.0,Everyone,Tools,2017-03-27,Varies with device,Varies with device
3577,Zoo For Preschool Kids 3-9 Years,PARENTING,,76.0,8199999.999999999,10000.0,Free,0.0,Everyone,Parenting;Education,2018-04-24,1.0.7,4.0 and up
3579,Arabic Alphabets,PARENTING,,34.0,6200000.0,10000.0,Free,0.0,Everyone,Parenting,2017-01-09,1.0,2.2 and up
3580,Learn the letters and words,PARENTING,,31.0,85000000.0,10000.0,Free,0.0,Everyone,Parenting;Education,2018-06-15,3.2,4.0.3 and up
3583,Ali Baba's Farm Tutorial Kids Games,PARENTING,,36.0,5500000.0,5000.0,Free,0.0,Everyone,Parenting,2018-05-27,4.7,4.1 and up
3585,Learning English for children,PARENTING,,67.0,15000000.0,50000.0,Free,0.0,Everyone,Parenting;Education,2018-04-18,1.9,2.3 and up
3589,We learn children's verses in kindergarten,PARENTING,,3248.0,6500000.0,100000.0,Free,0.0,Everyone,Parenting;Education,2017-12-20,2.10,4.0 and up
3599,Educational Children's Songs,PARENTING,,163.0,59000000.0,100000.0,Free,0.0,Everyone,Parenting,2018-08-05,1.2,4.0.3 and up
3603,Favorite Soviet cartoons,PARENTING,,63.0,4900000.0,10000.0,Free,0.0,Everyone,Parenting,2018-05-24,1.0.6,4.0 and up
3616,How do I care about my child?,PARENTING,,34.0,4900000.0,10000.0,Free,0.0,Everyone,Parenting,2018-07-03,1.2,4.0 and up
3621,Voice Tables - no internet,PARENTING,,970.0,71000000.0,100000.0,Free,0.0,Everyone,Parenting,2018-05-28,2.0,4.0.3 and up
3705,Video Wallpaper Show,VIDEO_PLAYERS,,0.0,13000000.0,500.0,Free,0.0,Everyone,Video Players & Editors,2018-07-26,3.1,4.0.3 and up
3959,B-17 Flying Fortress WWII LWP,PERSONALIZATION,,7.0,14000000.0,100.0,Paid,1.49,Everyone,Personalization,2016-12-22,1.0,4.1 and up
3985,CURSUM B,GAME,,30.0,26000000.0,500.0,Paid,0.99,Everyone,Racing,2017-06-20,1.0.0,2.3 and up
4130,F,TOOLS,,6.0,4900000.0,500.0,Free,0.0,Everyone,Tools,2018-05-15,1.0.2,4.0 and up
4134,Norwegian For Kids & Babies F,FAMILY,,0.0,14000000.0,5.0,Paid,39.99,Everyone,Education,2015-09-24,1.0,4.0 and up
4137,F-1 watchface by Delta,PERSONALIZATION,,0.0,0.0,10.0,Paid,2.49,Everyone,Personalization,2017-08-23,Varies with device,Varies with device
4139,F Length Sim (no Ads),PHOTOGRAPHY,,0.0,1700000.0,10.0,Paid,2.0,Everyone,Photography,2018-04-29,1.0,4.0.3 and up
4177,G-NetReport Pro,TOOLS,,0.0,1600000.0,10.0,Paid,25.99,Everyone,Tools,2018-06-14,5.0,4.0 and up
4201,H letter images,SOCIAL,,17.0,8500000.0,1000.0,Free,0.0,Teen,Social,2018-06-28,16.7,4.0.3 and up
4218,D+H Reaction Wall,GAME,,0.0,0.0,1.0,Paid,0.99,Everyone,Arcade,2016-07-24,Varies with device,Varies with device
4256,The J-Notes: Jazz News,SPORTS,,7.0,7200000.0,1000.0,Free,0.0,Everyone 10+,Sports,2018-02-28,5.2.2,4.1 and up
4265,J Alvarej Moji,COMMUNICATION,,2.0,13000000.0,10.0,Paid,1.99,Everyone,Communication,2017-05-03,1.0,3.2 and up
4269,J Balvin Piano Tiles,GAME,,6.0,30000000.0,500.0,Free,0.0,Everyone,Music,2018-05-15,2.0,4.1 and up
4270,Guess the song of J Balvin,GAME,,28.0,8900000.0,1000.0,Free,0.0,Everyone,Trivia,2017-12-24,1.1,4.1 and up
4273,J. Polep Plus Mobile,PRODUCTIVITY,,0.0,44000000.0,100.0,Free,0.0,Everyone,Productivity,2018-03-26,1.1.4,5.0 and up
4278,BTS J-Hope Wallpaper HD for KPOP Fans,PERSONALIZATION,,4.0,3600000.0,500.0,Free,0.0,Everyone,Personalization,2018-07-26,2.1.4,4.0 and up
4303,Speech Therapy: K,FAMILY,,2.0,15000000.0,1000.0,Free,0.0,Everyone,Education,2016-10-07,1.0,2.3.3 and up
4307,Mermaid Princess Pre K Games,FAMILY,,19.0,31000000.0,5000.0,Free,0.0,Everyone,Educational;Education,2018-06-29,3.01,4.1 and up
4308,K-App Mitarbeiter Galeria Kaufhof,PRODUCTIVITY,,0.0,19000000.0,100.0,Free,0.0,Everyone,Productivity,2018-07-10,3.27.1,4.4 and up
4315,Wallpapers Bus Scania Irizar K,PERSONALIZATION,,35.0,15000000.0,10000.0,Free,0.0,Teen,Personalization,2016-04-21,1.0,2.3.3 and up
4431,Obbligo o Verità? PRO,GAME,,4.0,2900000.0,100.0,Paid,0.99,Teen,Board,2018-04-26,"1,01",3.0 and up
4451,Android P Home KLWP,PERSONALIZATION,,0.0,2100000.0,5.0,Paid,1.49,Everyone,Personalization,2018-04-14,v2018.Apr.12.16,5.0 and up
4453,[substratum] Vacuum: P,PERSONALIZATION,4.4,230.0,11000000.0,1000.0,Paid,1.49,Everyone,Personalization,2018-07-20,4.4,
4457,Pacify Exceed (Android P) - Theme for Xperia™,PERSONALIZATION,,5.0,1900000.0,10.0,Paid,1.49,Everyone,Personalization,2018-07-02,1.2.A.Exceed.Paid,6.0 and up
4459,Pistachio Launcher for Android P 9.0,PERSONALIZATION,,0.0,2300000.0,1.0,Paid,1.49,Everyone,Personalization,2018-07-11,1.0.2,4.1 and up
4462,Pacify (Android P theme) - Theme for Xperia™,PERSONALIZATION,,1.0,1800000.0,10.0,Paid,0.99,Everyone,Personalization,2018-07-15,1.0.B+.Exceed.Paid,5.0 and up
4465,Popsicle Launcher for Android P 9.0 launcher,PERSONALIZATION,,0.0,5500000.0,0.0,Paid,1.49,Everyone,Personalization,2018-07-11,1.1,4.2 and up
4471,Pureness Pacify (Android P) - Theme for Xperia™,PERSONALIZATION,,0.0,3600000.0,1.0,Paid,1.49,Everyone,Personalization,2018-07-23,1.2.A.Exceed.Paid,6.0 and up
4475,Theme for New Android P,PERSONALIZATION,,13.0,4300000.0,1000.0,Free,0.0,Everyone,Personalization,2018-05-23,1.1.4,4.0 and up
4482,P XPERIA Theme™ | PURPLE - Design For SONY 🎨,PERSONALIZATION,,3.0,13000000.0,500.0,Free,0.0,Everyone,Personalization,2018-06-05,1.0.0,4.4 and up
4485,P XPERIA Theme™ | INDIGO - Design For SONY 🎨,PERSONALIZATION,,12.0,14000000.0,1000.0,Free,0.0,Everyone,Personalization,2018-06-05,1.0.0,4.4 and up
4489,P Icon Pack,FAMILY,,0.0,21000000.0,10.0,Paid,0.99,Everyone,Entertainment,2018-07-16,1.0.6,4.0.3 and up
